"ID","probSolving01","probSolving02","probSolving03","fin_strain01","fin_strain02","fin_strain03","w5_SE_quit","SE_start_recode","age","gender","edu","coded_country_num","w5_SE_employees_dich","coded_country","fin_strain","probSolving","age_labeled","region"
6,4,4,5,2,2,2,-2,27,6,2,4,11,0,"Germany",2,4.33333333333333,"65-75","Europe"
10,3,1,4,-2,0,-2,-3,17,4,2,5,11,0,"Germany",-1.33333333333333,2.66666666666667,"45-54","Europe"
11,4,2,5,0,1,0,-3,3,4,2,7,11,0,"Germany",0.333333333333333,3.66666666666667,"45-54","Europe"
14,4,4,4,1,1,1,1,12,4,2,5,12,0,"Greece",1,4,"45-54","Europe"
15,4,4,5,1,1,1,-2,21,4,1,6,12,0,"Greece",1,4.33333333333333,"45-54","Europe"
16,4,4,4,0,0,0,-2,5,4,1,6,12,0,"Greece",0,4,"45-54","Europe"
19,5,4,3,0,1,-1,-3,4,2,1,6,12,0,"Greece",0,4,"25-34","Europe"
20,4,4,5,0,1,-1,-2,0,3,2,5,32,0,"United Kingdom",0,4.33333333333333,"35-44","Europe"
22,3,3,4,1,1,1,-3,36,5,2,5,12,1,"Greece",1,3.33333333333333,"55-64","Europe"
23,4,4,4,1,1,0,-2,8,3,1,5,12,0,"Greece",0.666666666666667,4,"35-44","Europe"
26,3,3,3,0,0,0,-3,36,5,2,5,12,0,"Greece",0,3,"55-64","Europe"
27,4,4,4,0,1,-1,-1,30,6,2,5,12,0,"Greece",0,4,"65-75","Europe"
28,5,4,5,-2,-1,-2,-3,28,4,1,5,12,0,"Greece",-1.66666666666667,4.66666666666667,"45-54","Europe"
31,3,3,3,1,-1,0,-3,8,4,1,6,9,0,"Cyprus",0,3,"45-54","Central and West Asia"
36,5,5,5,0,1,0,-3,8,5,2,5,12,1,"Greece",0.333333333333333,5,"55-64","Europe"
37,5,5,2,-1,0,-2,-2,14,3,1,6,12,1,"Greece",-1,4,"35-44","Europe"
38,5,5,5,-1,2,-1,-3,2,3,1,6,12,0,"Greece",0,5,"35-44","Europe"
46,4,3,4,-1,1,-1,1,28,5,1,5,12,0,"Greece",-0.333333333333333,3.66666666666667,"55-64","Europe"
47,4,5,4,1,1,1,-3,0,2,1,7,12,0,"Greece",1,4.33333333333333,"25-34","Europe"
48,4,3,4,-1,1,-1,-3,23,4,2,6,12,0,"Greece",-0.333333333333333,3.66666666666667,"45-54","Europe"
50,4,3,4,1,1,1,-3,28,5,2,2,12,0,"Greece",1,3.66666666666667,"55-64","Europe"
51,5,3,4,2,1,2,1,27,5,2,4,12,0,"Greece",1.66666666666667,4,"55-64","Europe"
52,3,3,3,1,1,1,-2,20,5,2,5,12,1,"Greece",1,3,"55-64","Europe"
53,3,3,3,-1,1,-1,0,3,2,1,3,33,0,"United States of America",-0.333333333333333,3,"25-34","Northern America, Australia & New Zealand"
54,3,2,4,1,1,1,-1,10,3,2,4,33,1,"United States of America",1,3,"35-44","Northern America, Australia & New Zealand"
55,5,5,4,-1,2,-1,-3,9,5,1,6,33,0,"United States of America",0,4.66666666666667,"55-64","Northern America, Australia & New Zealand"
57,4,4,4,-2,2,-2,-3,1,2,2,7,33,0,"United States of America",-0.666666666666667,4,"25-34","Northern America, Australia & New Zealand"
60,5,5,5,-2,1,-2,-2,5,4,1,6,33,1,"United States of America",-1,5,"45-54","Northern America, Australia & New Zealand"
61,4,3,4,0,1,-1,-3,1,2,1,6,33,0,"United States of America",0,3.66666666666667,"25-34","Northern America, Australia & New Zealand"
67,4,3,4,1,1,1,0,1,2,1,2,33,1,"United States of America",1,3.66666666666667,"25-34","Northern America, Australia & New Zealand"
75,4,4,4,2,2,2,0,19,3,1,5,33,0,"United States of America",2,4,"35-44","Northern America, Australia & New Zealand"
78,4,4,4,0,1,0,-2,14,5,1,6,33,1,"United States of America",0.333333333333333,4,"55-64","Northern America, Australia & New Zealand"
79,5,5,5,2,1,1,-2,0,5,1,5,26,0,"South Africa",1.33333333333333,5,"55-64","Africa"
80,3,3,2,0,1,0,-3,1,4,1,2,33,0,"United States of America",0.333333333333333,2.66666666666667,"45-54","Northern America, Australia & New Zealand"
81,5,5,5,-2,1,-1,-1,20,6,1,5,33,1,"United States of America",-0.666666666666667,5,"65-75","Northern America, Australia & New Zealand"
82,4,3,3,0,1,-1,-3,5,5,1,4,32,0,"United Kingdom",0,3.33333333333333,"55-64","Europe"
83,4,4,4,2,2,2,-3,0,5,1,4,33,0,"United States of America",2,4,"55-64","Northern America, Australia & New Zealand"
86,4,3,3,1,1,0,-2,2,3,1,5,33,0,"United States of America",0.666666666666667,3.33333333333333,"35-44","Northern America, Australia & New Zealand"
87,4,5,4,-1,2,-1,-2,3,2,1,2,33,0,"United States of America",0,4.33333333333333,"25-34","Northern America, Australia & New Zealand"
88,5,5,5,0,1,-2,-3,1,6,2,6,33,0,"United States of America",-0.333333333333333,5,"65-75","Northern America, Australia & New Zealand"
89,5,4,4,0,0,-1,-3,11,4,1,6,33,0,"United States of America",-0.333333333333333,4.33333333333333,"45-54","Northern America, Australia & New Zealand"
92,3,3,5,1,1,1,-3,38,6,1,4,7,1,"Costa Rica",1,3.66666666666667,"65-75","South & Central America"
93,5,5,5,1,1,0,-2,6,2,1,5,33,1,"United States of America",0.666666666666667,5,"25-34","Northern America, Australia & New Zealand"
94,5,5,5,2,2,2,-2,0,3,1,4,32,0,"United Kingdom",2,5,"35-44","Europe"
95,5,5,5,1,2,1,-2,1,2,2,3,32,0,"United Kingdom",1.33333333333333,5,"25-34","Europe"
96,4,4,4,1,1,0,2,12,4,2,5,33,0,"United States of America",0.666666666666667,4,"45-54","Northern America, Australia & New Zealand"
97,3,2,3,2,2,2,3,0,3,2,5,33,0,"United States of America",2,2.66666666666667,"35-44","Northern America, Australia & New Zealand"
101,4,4,4,0,1,0,-2,6,4,1,7,21,0,"Philippines",0.333333333333333,4,"45-54","Eastern & South-Eastern Asia"
104,5,4,5,-2,2,-2,-2,2,3,2,4,33,0,"United States of America",-0.666666666666667,4.66666666666667,"35-44","Northern America, Australia & New Zealand"
106,3,3,4,2,2,1,2,9,3,1,6,32,0,"United Kingdom",1.66666666666667,3.33333333333333,"35-44","Europe"
107,5,5,5,-2,-1,-2,-3,50,6,1,4,32,0,"United Kingdom",-1.66666666666667,5,"65-75","Europe"
110,4,3,4,-1,2,-2,-3,3,5,1,6,32,0,"United Kingdom",-0.333333333333333,3.66666666666667,"55-64","Europe"
117,5,5,5,2,2,2,-2,15,5,1,6,33,0,"United States of America",2,5,"55-64","Northern America, Australia & New Zealand"
118,4,4,4,0,1,-1,2,6,4,1,2,33,0,"United States of America",0,4,"45-54","Northern America, Australia & New Zealand"
119,5,4,5,1,1,1,-3,36,4,1,5,33,0,"United States of America",1,4.66666666666667,"45-54","Northern America, Australia & New Zealand"
120,1,3,4,1,1,1,-3,6,4,1,4,33,1,"United States of America",1,2.66666666666667,"45-54","Northern America, Australia & New Zealand"
122,5,5,5,2,2,2,-2,21,3,2,6,33,1,"United States of America",2,5,"35-44","Northern America, Australia & New Zealand"
123,5,5,5,-2,-2,-2,0,17,3,2,5,19,1,"Malaysia",-2,5,"35-44","Eastern & South-Eastern Asia"
