"RecordedDate","LocationLatitude","LocationLongitude","UserLanguage","occ","occ_3_TEXT","Q52_Page_Submit","Q53_Page_Submit","mani_1","mani_2","mani_3","quit_1","quit_2","quit_3","finsit_1","finsit_2","year_1","month_1","found","coown","indu","indu_7_TEXT","locat","age_1","gender","edu","edu_6_TEXT","exp_cond","year","month","t1timebuiss","ID"
2021-04-09,"51.4828033447265625","11.9799041748046875","EN",2,"",NA,NA,2,3,NA,3,2,3,2,2,3,5,1,1,3,"",2,3,2,2,"",2,2019,"May",709,1
2021-04-09,"51.4828033447265625","11.9799041748046875","EN",2,"",NA,NA,5,4,4,4,5,4,4,3,2,3,1,1,2,"",3,7,2,1,"",2,2020,"Mar",404,2
2021-05-03,"51.4828033447265625","11.9799041748046875","EN",1,"",NA,NA,4,3,4,4,4,4,3,3,3,3,1,2,3,"",16,4,2,2,"",2,2019,"Mar",794,3
2021-05-03,"51.345306396484375","1.3791046142578125","EN",2,"",NA,NA,5,5,5,5,4,4,2,2,12,9,1,1,3,"",185,30,2,4,"",2,2010,"Sep",3897,4
2021-05-03,"51.502593994140625","-0.0659942626953125","EN",1,"",NA,NA,1,1,1,2,2,2,5,5,11,1,1,1,7,"Music/Education",185,22,2,4,"",1,2011,"Jan",3775,5
2021-05-03,"50.8166961669921875","-1.233306884765625","EN",1,"",NA,NA,2,1,1,1,1,1,2,2,9,8,1,1,4,"",185,34,2,3,"",1,2013,"Aug",2832,6
2021-05-03,"50.834503173828125","-0.186004638671875","EN",2,"",NA,NA,2,1,2,2,1,1,4,4,8,12,1,1,3,"",185,22,2,4,"",1,2014,"Dec",2345,7
2021-05-03,"51.8372955322265625","0.8173980712890625","EN",1,"",NA,NA,3,2,1,2,2,1,2,2,25,3,1,2,2,"",185,37,2,3,"",1,1997,"Mar",8829,8
2021-05-03,"50.8428955078125","-0.1157989501953125","EN",1,"",NA,NA,2,1,2,1,2,3,1,2,8,6,1,1,7,"Art & Media",185,13,1,3,"",1,2014,"Jun",2528,9
2021-05-03,"53.7541961669921875","-2.8300933837890625","EN",1,"",NA,NA,1,1,1,1,1,1,2,1,29,8,1,1,2,"",185,34,2,3,"",1,1993,"Aug",10137,10
2021-05-03,"52.69830322265625","-3.1656951904296875","EN",1,"",NA,NA,3,2,2,1,1,1,5,5,5,6,1,1,1,"",185,9,2,4,"",1,2017,"Jun",1432,11
2021-05-03,"53.4425048828125","-2.4232025146484375","EN",1,"",NA,NA,4,5,4,3,4,2,4,4,2,3,1,1,4,"",185,19,1,2,"",2,2020,"Mar",428,12
2021-05-03,"50.8428955078125","-0.1157989501953125","EN",1,"",NA,NA,4,5,5,2,2,1,4,5,8,5,1,1,2,"",185,15,1,4,"",2,2014,"May",2559,13
2021-05-03,"52.526397705078125","-1.092193603515625","EN",2,"",NA,NA,2,1,1,1,1,4,4,4,2,8,1,2,4,"",185,3,2,3,"",1,2020,"Aug",275,14
2021-05-03,"53.6875","-1.6262969970703125","EN",1,"",NA,NA,5,5,5,5,5,5,5,5,19,3,1,1,7,"Entertainment",185,43,1,2,"",2,2003,"Mar",6638,15
2021-05-03,"51.49859619140625","0.044097900390625","EN",1,"",NA,NA,2,2,2,4,4,4,1,2,3,9,1,1,2,"",185,9,2,3,"",1,2019,"Sep",610,16
2021-05-03,"51.49639892578125","-0.122406005859375","EN",1,"",NA,NA,4,1,2,4,4,3,3,2,25,8,1,1,1,"",185,40,1,3,"",1,1997,"Aug",8676,17
2021-05-03,"51.4535064697265625","-2.591705322265625","EN",1,"",NA,NA,4,5,5,4,4,2,4,5,7,2,1,1,2,"",185,25,2,4,"",2,2015,"Feb",2283,18
2021-05-03,"51.5384063720703125","-0.03900146484375","EN",1,"",NA,NA,5,5,5,4,4,4,5,5,7,7,1,2,3,"",185,41,2,4,"",2,2015,"Jul",2133,19
2021-05-03,"53.09820556640625","-1.44000244140625","EN",1,"",NA,NA,3,1,1,1,1,1,2,1,7,1,1,1,3,"",185,37,2,2,"",1,2015,"Jan",2314,20
2021-05-03,"55.831207275390625","-4.276702880859375","EN",1,"",NA,NA,5,5,5,2,3,2,4,5,8,5,1,1,3,"",185,45,2,4,"",2,2014,"May",2559,21
2021-05-03,"51.49859619140625","0.044097900390625","EN",2,"",NA,NA,5,5,5,4,4,3,3,4,12,12,1,1,3,"",185,33,2,2,"",2,2010,"Dec",3806,22
2021-05-03,"53.822601318359375","-1.5679931640625","EN",2,"",NA,NA,3,1,1,1,1,1,2,4,7,6,1,1,7,"beauty industry",185,3,2,2,"",1,2015,"Jun",2163,23
2021-05-03,"51.44830322265625","-0.1383056640625","EN",1,"",NA,NA,5,4,5,3,3,3,4,4,4,5,1,1,5,"",185,6,1,4,"",2,2018,"May",1098,24
2021-05-03,"50.916900634765625","-1.4219970703125","EN",2,"",NA,NA,3,1,1,1,1,1,2,1,2,7,1,1,3,"",185,11,1,2,"",1,2020,"Jul",306,25
2021-05-03,"51.2104949951171875","-1.5001068115234375","EN",1,"",NA,NA,5,5,5,2,2,2,2,5,12,6,1,1,7,"beauty",185,35,2,3,"",2,2010,"Jun",3989,26
2021-05-03,"52.471893310546875","1.4745025634765625","EN",1,"",NA,NA,5,3,5,2,3,3,1,4,42,3,1,2,2,"",185,50,2,2,"",1,1980,"Mar",15038,27
2021-05-03,"50.7333984375","-1.9246063232421875","EN",1,"",NA,NA,2,1,1,1,1,1,2,1,1,1,1,1,3,"",185,48,2,4,"",1,2021,"Jan",122,28
2021-05-03,"51.553802490234375","-0.3101959228515625","EN",2,"",NA,NA,2,1,2,1,1,1,1,2,4,9,1,1,1,"",185,16,2,4,"",1,2018,"Sep",975,29
2021-05-03,"51.553802490234375","-0.3101959228515625","EN",1,"",NA,NA,5,5,5,2,2,2,1,2,4,4,1,1,7,"marketing",185,18,1,4,"",2,2018,"Apr",1128,30
2021-05-03,"51.441192626953125","-0.1833038330078125","EN",2,"",NA,NA,3,3,3,2,2,2,2,2,2,12,1,1,3,"",185,11,1,4,"",1,2020,"Dec",153,31
