"RecordedDate","LocationLatitude","LocationLongitude","UserLanguage","occ","occ_3_TEXT","Q52_Page_Submit","Q53_Page_Submit","mani_1","mani_2","mani_3","quit_1","quit_2","quit_3","year_1","month_1","found","coown","indu","indu_7_TEXT","locat","age_1","gender","edu","edu_6_TEXT","exp_cond"
2021-04-09 11:45:43,"51.4828033447265625","11.9799041748046875","EN",2,"",NA,NA,3,NA,3,5,5,2,NA,NA,2,2,4,"",3,88,2,NA,"",1
2021-04-09 12:11:26,"51.4828033447265625","11.9799041748046875","EN",2,"",NA,NA,2,3,NA,3,2,3,3,5,1,1,3,"",2,3,2,2,"",2
2021-04-09 12:21:16,"51.4828033447265625","11.9799041748046875","EN",2,"",NA,NA,5,4,4,4,5,4,2,3,1,1,2,"",3,7,2,1,"",2
2021-05-03 11:06:25,"51.4828033447265625","11.9799041748046875","EN",1,"",NA,NA,4,3,4,4,4,4,3,3,1,2,3,"",16,4,2,2,"",2
2021-05-03 11:22:31,"51.345306396484375","1.3791046142578125","EN",2,"",NA,NA,5,5,5,5,4,4,12,9,1,1,3,"",185,30,2,4,"",2
2021-05-03 11:23:39,"51.502593994140625","-0.0659942626953125","EN",1,"",NA,NA,1,1,1,2,2,2,11,1,1,1,7,"Music/Education",185,22,2,4,"",1
2021-05-03 11:23:52,"50.8166961669921875","-1.233306884765625","EN",1,"",NA,NA,2,1,1,1,1,1,9,8,1,1,4,"",185,34,2,3,"",1
2021-05-03 11:24:18,"50.834503173828125","-0.186004638671875","EN",2,"",NA,NA,2,1,2,2,1,1,8,12,1,1,3,"",185,22,2,4,"",1
2021-05-03 11:24:27,"51.8372955322265625","0.8173980712890625","EN",1,"",NA,NA,3,2,1,2,2,1,25,3,1,2,2,"",185,37,2,3,"",1
2021-05-03 11:25:02,"50.8428955078125","-0.1157989501953125","EN",1,"",NA,NA,2,1,2,1,2,3,8,6,1,1,7,"Art & Media",185,13,1,3,"",1
2021-05-03 11:26:06,"53.7541961669921875","-2.8300933837890625","EN",1,"",NA,NA,1,1,1,1,1,1,29,8,1,1,2,"",185,34,2,3,"",1
2021-05-03 11:26:18,"52.69830322265625","-3.1656951904296875","EN",1,"",NA,NA,3,2,2,1,1,1,5,6,1,1,1,"",185,9,2,4,"",1
2021-05-03 11:26:41,"53.4425048828125","-2.4232025146484375","EN",1,"",NA,NA,4,5,4,3,4,2,2,3,1,1,4,"",185,19,1,2,"",2
2021-05-03 11:28:18,"50.8428955078125","-0.1157989501953125","EN",1,"",NA,NA,4,5,5,2,2,1,8,5,1,1,2,"",185,15,1,4,"",2
2021-05-03 11:29:33,"52.526397705078125","-1.092193603515625","EN",2,"",NA,NA,2,1,1,1,1,4,2,8,1,2,4,"",185,3,2,3,"",1
2021-05-03 11:30:21,"53.6875","-1.6262969970703125","EN",1,"",NA,NA,5,5,5,5,5,5,19,3,1,1,7,"Entertainment",185,43,1,2,"",2
2021-05-03 11:30:49,"51.49859619140625","0.044097900390625","EN",1,"",NA,NA,2,2,2,4,4,4,3,9,1,1,2,"",185,9,2,3,"",1
2021-05-03 11:30:52,"51.49639892578125","-0.122406005859375","EN",1,"",NA,NA,4,1,2,4,4,3,25,8,1,1,1,"",185,40,1,3,"",1
2021-05-03 11:30:56,"51.4535064697265625","-2.591705322265625","EN",1,"",NA,NA,4,5,5,4,4,2,7,2,1,1,2,"",185,25,2,4,"",2
2021-05-03 11:31:05,"51.5384063720703125","-0.03900146484375","EN",1,"",NA,NA,5,5,5,4,4,4,7,7,1,2,3,"",185,41,2,4,"",2
2021-05-03 11:31:06,"53.09820556640625","-1.44000244140625","EN",1,"",NA,NA,3,1,1,1,1,1,7,1,1,1,3,"",185,37,2,2,"",1
2021-05-03 11:31:08,"55.831207275390625","-4.276702880859375","EN",1,"",NA,NA,5,5,5,2,3,2,8,5,1,1,3,"",185,45,2,4,"",2
2021-05-03 11:31:32,"51.49859619140625","0.044097900390625","EN",2,"",NA,NA,5,5,5,4,4,3,12,12,1,1,3,"",185,33,2,2,"",2
2021-05-03 11:32:09,"53.822601318359375","-1.5679931640625","EN",2,"",NA,NA,3,1,1,1,1,1,7,6,1,1,7,"beauty industry",185,3,2,2,"",1
2021-05-03 11:32:16,"51.44830322265625","-0.1383056640625","EN",1,"",NA,NA,5,4,5,3,3,3,4,5,1,1,5,"",185,6,1,4,"",2
2021-05-03 11:32:40,"50.916900634765625","-1.4219970703125","EN",2,"",NA,NA,3,1,1,1,1,1,2,7,1,1,3,"",185,11,1,2,"",1
2021-05-03 11:32:43,"51.2104949951171875","-1.5001068115234375","EN",1,"",NA,NA,5,5,5,2,2,2,12,6,1,1,7,"beauty",185,35,2,3,"",2
2021-05-03 11:32:50,"52.471893310546875","1.4745025634765625","EN",1,"",NA,NA,5,3,5,2,3,3,42,3,1,2,2,"",185,50,2,2,"",1
2021-05-03 11:32:58,"50.7333984375","-1.9246063232421875","EN",1,"",NA,NA,2,1,1,1,1,1,1,1,1,1,3,"",185,48,2,4,"",1
2021-05-03 11:33:31,"51.553802490234375","-0.3101959228515625","EN",2,"",NA,NA,2,1,2,1,1,1,4,9,1,1,1,"",185,16,2,4,"",1
2021-05-03 11:33:39,"51.553802490234375","-0.3101959228515625","EN",1,"",NA,NA,5,5,5,2,2,2,4,4,1,1,7,"marketing",185,18,1,4,"",2
2021-05-03 11:33:53,"51.441192626953125","-0.1833038330078125","EN",2,"",NA,NA,3,3,3,2,2,2,2,12,1,1,3,"",185,11,1,4,"",1
2021-05-03 11:34:15,"51.4862060546875","-0.3083038330078125","EN",1,"",NA,NA,3,1,1,1,3,2,21,8,2,1,2,"",185,19,2,4,"",1
2021-05-03 11:34:22,"51.329498291015625","0.5780029296875","EN",2,"",NA,NA,3,1,1,1,1,1,22,6,1,1,2,"",185,40,1,3,"",1
2021-05-03 11:34:26,"51.309295654296875","0.37030029296875","EN",1,"",NA,NA,2,2,1,1,1,1,10,2,1,2,1,"",185,24,2,4,"",1
2021-05-03 11:34:28,"51.497100830078125","-0.1226043701171875","EN",2,"",NA,NA,4,5,5,2,3,2,3,11,1,2,1,"",185,9,2,4,"",2
2021-05-03 11:35:31,"54.9001007080078125","-1.4210968017578125","EN",1,"",NA,NA,3,5,5,4,4,5,2,2,1,1,4,"",185,11,2,4,"",2
2021-05-03 11:36:08,"50.3679962158203125","-4.132904052734375","EN",1,"",NA,NA,1,1,1,1,1,1,12,4,1,1,1,"",185,41,2,4,"",1
2021-05-03 11:36:12,"-34.0485992431640625","18.4810943603515625","EN",2,"",NA,NA,4,1,1,1,1,1,3,7,2,1,1,"",187,39,2,2,"",1
2021-05-03 11:36:31,"48.195098876953125","16.348297119140625","EN",1,"",NA,NA,5,5,5,4,3,2,21,7,1,1,7,"Language services",10,32,2,4,"",2
2021-05-03 11:36:36,"51.0883026123046875","-2.5641937255859375","EN",2,"",NA,NA,5,5,5,2,4,2,6,11,1,1,3,"",185,48,1,4,"",2
2021-05-03 11:36:39,"53.2498016357421875","-0.511505126953125","EN",1,"",NA,NA,5,5,5,5,4,4,11,5,1,1,4,"",185,48,2,4,"",2
2021-05-03 11:36:39,"51.553802490234375","-0.3101959228515625","EN",2,"",NA,NA,5,5,5,5,4,4,5,12,1,1,7,"Marketing",185,14,2,4,"",2
2021-05-03 11:36:55,"51.454193115234375","-1.9806060791015625","EN",1,"",NA,NA,5,5,5,3,2,2,23,10,1,1,2,"",185,35,2,3,"",2
2021-05-03 11:37:10,"51.9474029541015625","0.1356048583984375","EN",1,"",NA,NA,2,1,1,1,1,1,25,9,1,1,7,"Arts",185,44,2,4,"",1
2021-05-03 11:37:17,"51.864593505859375","-4.263397216796875","EN",2,"",NA,NA,1,1,1,1,1,1,21,1,1,1,5,"",185,47,1,2,"",1
2021-05-03 11:37:22,"51.410797119140625","-0.6753997802734375","EN",1,"",NA,NA,5,5,5,2,2,2,5,7,1,2,2,"",185,32,2,3,"",2
2021-05-03 11:37:27,"52.9452972412109375","-1.49530029296875","EN",1,"",NA,NA,5,5,5,1,1,1,3,4,1,1,2,"",185,25,1,4,"",2
2021-05-03 11:38:43,"52.0113067626953125","-3.794097900390625","EN",2,"",NA,NA,5,5,5,2,3,3,7,4,1,1,1,"",185,20,1,4,"",2
2021-05-03 11:38:55,"51.8166961669921875","-0.814605712890625","EN",1,"",NA,NA,3,1,1,1,1,1,2,4,1,1,7,"Craft",185,44,2,2,"",1
2021-05-03 11:39:41,"51.3997039794921875","-0.251495361328125","EN",1,"",NA,NA,4,1,1,1,1,1,4,9,2,1,1,"",185,20,1,3,"",1
2021-05-03 11:43:35,"50.92059326171875","-3.5850067138671875","EN",1,"",NA,NA,5,5,5,3,4,2,28,7,1,1,7,"hand made, textile design",185,43,2,2,"",2
2021-05-03 20:44:28,"52.5352935791015625","13.42449951171875","EN",1,"",NA,22.22,4,4,4,2,3,3,3,3,1,1,1,"",2,3,2,3,"",2
2021-05-05 20:12:40,"53.3820037841796875","-2.2541961669921875","EN",2,"",20.816,NA,4,1,1,2,2,1,3,1,1,1,4,"",185,15,2,2,"",1
2021-05-05 20:16:38,"51.3925933837890625","1.40460205078125","EN",2,"",NA,26.763,4,5,5,4,2,1,2,4,1,1,7,"Fitness influencer and online coach",185,3,2,2,"",2
2021-05-05 20:19:03,"52.55889892578125","-2.1448974609375","EN",1,"",23.61,NA,1,1,1,1,4,4,8,4,1,1,3,"",185,NA,1,4,"",1
2021-05-05 20:20:05,"51.514495849609375","0.0706024169921875","EN",1,"",NA,41.856,5,5,5,2,4,2,5,5,1,2,2,"",185,22,1,4,"",2
2021-05-05 20:20:08,"53.460601806640625","-2.2572021484375","EN",2,"",NA,21.116,5,5,5,4,3,3,3,1,1,1,7,"Events",185,16,1,4,"",2
2021-05-05 20:22:39,"52.7563934326171875","-2.07269287109375","EN",2,"",NA,23.334,5,5,5,4,4,4,8,7,1,1,7,"Entertainment",185,27,2,5,"",2
2021-05-05 20:22:46,"51.5576934814453125","-1.776702880859375","EN",2,"",28.256,NA,4,1,1,1,1,2,6,5,2,1,6,"",84,17,2,3,"",1
2021-05-05 20:25:30,"51.653900146484375","-0.08880615234375","EN",2,"",NA,21.996,5,5,5,4,4,4,4,5,1,1,4,"",185,4,2,4,"",2
2021-05-05 20:26:38,"53.2563934326171875","-0.0626983642578125","EN",1,"",35.498,NA,2,1,1,1,1,1,7,7,1,1,4,"",185,25,1,6,"Trade training",1
2021-05-05 20:28:48,"50.8450927734375","-0.938995361328125","EN",1,"",23.561,NA,3,1,2,1,1,1,7,6,1,1,1,"",185,4,2,4,"",1
2021-05-05 20:29:16,"51.4622955322265625","-2.550201416015625","EN",1,"",NA,21.542,5,5,5,4,2,4,2,5,1,1,1,"",185,23,1,2,"",2
2021-05-05 20:29:24,"53.8195037841796875","-1.6060028076171875","EN",1,"",NA,21.726,5,5,5,4,4,4,3,10,1,1,1,"",185,8,2,2,"",2
2021-05-05 20:31:34,"53.64129638671875","-2.6692047119140625","EN",2,"",26.619,NA,1,1,NA,1,1,1,2,10,1,1,4,"",185,21,2,4,"",1
2021-05-05 20:31:53,"52.6493988037109375","-1.12030029296875","EN",1,"",21.187,NA,1,1,1,1,1,1,4,9,1,2,1,"",185,15,1,4,"",1
2021-05-05 20:32:36,"53.8119049072265625","-3.0225982666015625","EN",1,"",21.575,NA,4,2,2,1,1,1,4,1,1,2,4,"",185,14,2,4,"",1
2021-05-05 20:33:16,"52.6280975341796875","1.28619384765625","EN",1,"",21.91,NA,4,1,1,2,2,2,5,8,1,1,3,"",185,22,2,4,"",1
2021-05-05 20:33:35,"51.5518035888671875","-0.1345062255859375","EN",2,"",NA,26.812,5,5,5,5,4,4,5,9,1,1,3,"",185,13,2,4,"",2
2021-05-05 20:34:01,"51.45660400390625","-0.9680023193359375","EN",1,"",NA,118.454,5,5,5,1,4,2,4,12,1,1,7,"Teaching",185,30,1,3,"",2
