"Variable name","Description","Values"
"RecordedDate","Recorded date",""
"mani_1","Manipulation check financial stress - 1","[1] Strongly disagree, [2] Somewhat disagree, [3] Neither agree nor disagree, [4] Somewhat agree, [5] Strongly agree"
"mani_2","Manipulation check financial stress - 2","[1] Strongly disagree, [2] Somewhat disagree, [3] Neither agree nor disagree, [4] Somewhat agree, [5] Strongly agree"
"mani_3","Manipulation check financial stress - 3","[1] Strongly disagree, [2] Somewhat disagree, [3] Neither agree nor disagree, [4] Somewhat agree, [5] Strongly agree"
"quit_1","Quit intention - 1","[1] Strongly disagree, [2] Somewhat disagree, [3] Neither agree nor disagree, [4] Somewhat agree, [5] Strongly agree"
"quit_2","Quit intention - 2","[1] Extremely unlikely, [2] Somewhat unlikely, [3] Neither likely nor unlikely, [4] Somewhat likely, [5] Extremely likely"
"quit_3","Quit intention - 3","[1] Extremely unlikely, [2] Somewhat unlikely, [3] Neither likely nor unlikely, [4] Somewhat likely, [5] Extremely likely"
"year_1","Year of business foundation","[1] 2021, [2] 2020, [3] 2019, [4] 2018, [5] 2017, [6] 2016, [7] 2015, [8] 2014, [9] 2013, [10] 2012, [11] 2011, [12] 2010, [13] 2009, [14] 2008, [15] 2007, [16] 2006, [17] 2005, [18] 2004, [19] 2003, [20] 2002, [21] 2001, [22] 2000, [23] 1999, [24] 1998, [25] 1997, [26] 1996, [27] 1995, [28] 1994, [29] 1993, [30] 1992, [31] 1991, [32] 1990, [33] 1989, [34] 1988, [35] 1987, [36] 1986, [37] 1985, [38] 1984, [39] 1983, [40] 1982, [41] 1981, [42] 1980, [43] 1979, [44] 1978, [45] 1977, [46] 1976, [47] 1975"
"month_1","Month of business foundation","[1] Jan, [2] Feb, [3] Mar, [4] Apr, [5] May, [6] Jun, [7] Jul, [8] Aug, [9] Sep, [10] Oct, [11] Nov, [12] Dec"
"found","Were you involved in founding the business for which you currently work self-employed?","[1] Yes, I was involved in founding the business., [2] No, I was not involved in founding the business."
"coown","Are you the only owner of the business?","[1] Yes, I am the only owner of the business., [2] No, there exist other owners beside me."
"indu","In which sector or industry does your current business operate? - Selected Choice","[1] Information, Communications, or Technology, [2] Finance, Real Estate, or Business Services, [3] Health, Education, Government, or Social and Consumer Services, [4] Wholesale, Retail, [5] Manufacturing, Logistics, [6] Agriculture, Extractive, or Construction, [7] Other, namely:"
"locat","Business location","United Kingdom of Great Britain and Northern Ireland, United States of America, Austria, Italy, Ireland, Canada, Estonia, South Africa, Spain, Australia, United Arab Emirates, France"
"age_1","How old are you (in years)? - years","[1] 18, [2] 19, [3] 20, [4] 21, [5] 22, [6] 23, [7] 24, [8] 25, [9] 26, [10] 27, [11] 28, [12] 29, [13] 30, [14] 31, [15] 32, [16] 33, [17] 34, [18] 35, [19] 36, [20] 37, [21] 38, [22] 39, [23] 40, [24] 41, [25] 42, [26] 43, [27] 44, [28] 45, [29] 46, [30] 47, [31] 48, [32] 49, [33] 50, [34] 51, [35] 52, [36] 53, [37] 54, [38] 55, [39] 56, [40] 57, [41] 58, [42] 59, [43] 60, [44] 61, [45] 62, [46] 63, [47] 64, [48] 65, [49] 66, [50] 67, [51] 68, [52] 69, [53] 70, [54] 71, [55] 72, [56] 73, [57] 74, [58] 75, [59] 76, [60] 77, [61] 78, [62] 79, [63] 80, [64] 81, [65] 82, [66] 83, [67] 84, [68] 85, [69] 86, [70] 87, [71] 88, [72] 89, [73] 90, [74] 91, [75] 92, [76] 93, [77] 94, [78] 95, [79] 96, [80] 97, [81] 98, [82] 99, [83] 100"
"gender","Please indicate your gender.","[1] Male, [2] Female, [3] Otherwise identified"
"edu","What is the highest level of education you have achieved? - Selected Choice","[1] Primary School, [2] Secondary School, [3] (Technical) Secondary School Diploma, [4] University Degree, [5] Doctorate Degree, [6] Other, namely"
"exp_cond","Experimental or control condition",""
