"probSolving01","probSolving02","probSolving03","fin_strain01","fin_strain02","fin_strain03","w7_SE_quit","w5_SE_quit","w5_lifeSat","SE_start_recode","age","gender","edu","coded_country_num","w5_fin_strain01","w5_SE_employees_dich","coded_country","fin_strain","probSolving","age_labeled","region"
4,4,5,2,2,2,-2,-2,2,27,6,2,4,11,2,0,"Germany",2,4.33333333333333,"65-75","Europe"
3,1,4,-2,0,-2,-3,-3,4,17,4,2,5,11,-1,0,"Germany",-1.33333333333333,2.66666666666667,"45-54","Europe"
4,2,5,0,1,0,-3,-3,5,3,4,2,7,11,0,0,"Germany",0.333333333333333,3.66666666666667,"45-54","Europe"
4,4,4,1,1,1,NA,1,3,12,4,2,5,12,1,0,"Greece",1,4,"45-54","Europe"
4,4,5,1,1,1,-2,-2,5,21,4,1,6,12,1,0,"Greece",1,4.33333333333333,"45-54","Europe"
4,4,4,0,0,0,-2,-2,5,5,4,1,6,12,0,0,"Greece",0,4,"45-54","Europe"
5,4,3,0,1,-1,-3,-3,5,4,2,1,6,12,-2,0,"Greece",0,4,"25-34","Europe"
4,4,5,0,1,-1,-1,-2,4,0,3,2,5,32,1,0,"United Kingdom",0,4.33333333333333,"35-44","Europe"
3,3,4,1,1,1,-3,-3,4,36,5,2,5,12,0,1,"Greece",1,3.33333333333333,"55-64","Europe"
4,4,4,1,1,0,-2,-2,6,8,3,1,5,12,1,0,"Greece",0.666666666666667,4,"35-44","Europe"
3,3,3,0,0,0,NA,-3,4,36,5,2,5,12,1,0,"Greece",0,3,"55-64","Europe"
4,4,4,0,1,-1,0,-1,5,30,6,2,5,12,0,0,"Greece",0,4,"65-75","Europe"
5,4,5,-2,-1,-2,NA,-3,6,28,4,1,5,12,-2,0,"Greece",-1.66666666666667,4.66666666666667,"45-54","Europe"
3,3,3,1,-1,0,NA,-3,5,8,4,1,6,9,1,0,"Cyprus",0,3,"45-54","Central and West Asia"
5,5,5,0,1,0,NA,-3,5,8,5,2,5,12,0,1,"Greece",0.333333333333333,5,"55-64","Europe"
5,5,2,-1,0,-2,NA,-2,6,14,3,1,6,12,-2,1,"Greece",-1,4,"35-44","Europe"
5,5,5,-1,2,-1,-3,-3,5,2,3,1,6,12,-1,0,"Greece",0,5,"35-44","Europe"
4,3,4,-1,1,-1,2,1,3,28,5,1,5,12,0,0,"Greece",-0.333333333333333,3.66666666666667,"55-64","Europe"
4,5,4,1,1,1,NA,-3,5,0,2,1,7,12,1,0,"Greece",1,4.33333333333333,"25-34","Europe"
4,3,4,-1,1,-1,-3,-3,5,23,4,2,6,12,0,0,"Greece",-0.333333333333333,3.66666666666667,"45-54","Europe"
4,3,4,1,1,1,NA,-3,6,28,5,2,2,12,2,0,"Greece",1,3.66666666666667,"55-64","Europe"
5,3,4,2,1,2,NA,1,5,27,5,2,4,12,1,0,"Greece",1.66666666666667,4,"55-64","Europe"
3,3,3,1,1,1,NA,-2,5,20,5,2,5,12,1,1,"Greece",1,3,"55-64","Europe"
3,3,3,-1,1,-1,NA,0,3,3,2,1,3,33,2,0,"United States of America",-0.333333333333333,3,"25-34","Northern America, Australia & New Zealand"
3,2,4,1,1,1,NA,-1,4,10,3,2,4,33,1,1,"United States of America",1,3,"35-44","Northern America, Australia & New Zealand"
5,5,4,-1,2,-1,NA,-3,5,9,5,1,6,33,-2,0,"United States of America",0,4.66666666666667,"55-64","Northern America, Australia & New Zealand"
4,4,4,-2,2,-2,-3,-3,6,1,2,2,7,33,-2,0,"United States of America",-0.666666666666667,4,"25-34","Northern America, Australia & New Zealand"
5,5,5,-2,1,-2,NA,-2,5,5,4,1,6,33,-1,1,"United States of America",-1,5,"45-54","Northern America, Australia & New Zealand"
4,3,4,0,1,-1,-2,-3,4,1,2,1,6,33,0,0,"United States of America",0,3.66666666666667,"25-34","Northern America, Australia & New Zealand"
4,3,4,1,1,1,NA,0,4,1,2,1,2,33,0,1,"United States of America",1,3.66666666666667,"25-34","Northern America, Australia & New Zealand"
4,4,4,2,2,2,NA,0,5,19,3,1,5,33,0,0,"United States of America",2,4,"35-44","Northern America, Australia & New Zealand"
4,4,4,0,1,0,-2,-2,4,14,5,1,6,33,-1,1,"United States of America",0.333333333333333,4,"55-64","Northern America, Australia & New Zealand"
5,5,5,2,1,1,NA,-2,6,0,5,1,5,26,1,0,"South Africa",1.33333333333333,5,"55-64","Africa"
3,3,2,0,1,0,-3,-3,4,1,4,1,2,33,0,0,"United States of America",0.333333333333333,2.66666666666667,"45-54","Northern America, Australia & New Zealand"
