"T1occ","T1occ_3_TEXT","T1finstrain_1","T1finstrain_2","T1finstrain_3","T1quitint_1","T1quitint_2","T1quitint_3","T1concom_1","T1concom_2","T1concom_3","T1affcom_1","T1affcom_2","T1affcom_3","T1year_1","T1month_1","T1found","T1employees","T1coown","T1lang","T1lang_2_TEXT","T1edu","T1edu_6_TEXT","T2_occ","T2_occ_3_TEXT","T2_quitfinstrain","T2_quitfinstrain_3_TEXT","T2_finstrain_1","T2_finstrain_2","T2_finstrain_3","T2_quitint_1","T2_quitint_2","T2_quitint_3","T2_concom_1","T2_concom_2","T2_concom_3","T2_affcom_1","T2_affcom_2","T2_affcom_3","T1timebuiss"
1,"",4,2,2,1,1,1,2,4,4,5,5,5,19,10,1,2,1,1,"",4,"",1,"",1,"",1,4,2,1,1,1,5,4,4,5,5,5,6453
3,"Business owner but main role is home maker",2,1,1,1,1,1,3,4,4,5,5,5,2,10,1,2,1,1,"",4,"",1,"",NA,"",1,1,1,1,1,1,1,4,4,5,5,5,243
2,"",4,2,4,2,1,1,1,5,4,5,5,4,10,8,1,2,1,1,"",5,"",2,"",NA,"",4,4,4,4,2,2,1,4,5,2,4,2,3226
2,"",4,1,1,2,1,1,2,2,3,2,3,4,2,12,1,2,2,1,"",4,"",2,"",NA,"",4,2,2,3,2,3,1,1,3,4,5,4,182
2,"",5,4,5,1,1,1,4,4,5,5,5,5,3,11,1,2,1,2,"French",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578
2,"",2,2,3,1,2,3,3,3,3,4,4,3,13,8,1,1,2,1,"",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4322
3,"",3,2,4,4,4,3,3,2,4,3,3,4,3,3,1,2,1,1,"",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,823
1,"",4,2,3,4,4,1,3,2,4,4,5,3,12,5,1,2,1,1,"",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4049
3,"Homemaker",1,1,1,1,1,1,3,5,5,5,5,5,4,3,1,2,1,2,"Kikuyu, Swahili",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1188
2,"",4,4,4,5,4,4,4,4,5,4,4,3,7,2,1,1,2,2,"Spanish",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2312
